epiweek,region,first-observed-wili,final-observed-wili
201103,hhs10,1.5549999475479,1.47542
201104,hhs10,2.1289999485016,2.07762
201105,hhs10,3.5390000343323,2.63905
201106,hhs10,2.8729999065399,2.47084
201107,hhs10,4.8359999656677,3.91067
201108,hhs10,3.539999961853,3.4573
201109,hhs10,3.8090000152588,3.33706
201110,hhs10,3.4430000782013,3.20568
201111,hhs10,3.1710000038147,3.07455
201112,hhs10,3.1740000247955,2.79447
201113,hhs10,1.4190000295639,1.65878
201114,hhs10,1.5709999799728,1.18923
201115,hhs10,1.2039999961853,1.22909
201116,hhs10,1.085000038147,1.30604
201117,hhs10,0.87800002098083,0.900723
201118,hhs10,0.81900000572205,0.891192
201119,hhs10,0.97799998521805,0.779229
201120,hhs10,0.97699999809265,0.824355
201041,hhs2,1.0130000114441,1.32645
201042,hhs2,0.86699998378754,1.21948
201043,hhs2,1.2259999513626,1.38946
201044,hhs2,0.92299997806549,1.22194
201045,hhs2,1.164999961853,1.39471
201046,hhs2,1.0579999685287,1.42987
201047,hhs2,1.8279999494553,1.65444
201048,hhs2,1.1920000314713,2.19869
201049,hhs2,1.9390000104904,2.48266
201050,hhs2,2.1900000572205,3.01943
201051,hhs2,2.5750000476837,4.21664
201052,hhs2,3.220999956131,4.47832
201101,hhs2,2.2300000190735,3.33753
201102,hhs2,4.3319997787476,3.83669
201103,hhs2,3.489000082016,3.65077
201104,hhs2,4.0329999923706,3.93498
201105,hhs2,4.8610000610352,4.05683
201106,hhs2,4.356999874115,4.09076
201107,hhs2,4.4219999313354,4.25042
201108,hhs2,4.9229998588562,4.31914
201109,hhs2,2.4649999141693,3.44821
201110,hhs2,3.805999994278,3.18862
201111,hhs2,3.4089999198914,3.17757
201112,hhs2,2.4379999637604,2.49454
201113,hhs2,2.2249999046326,2.74673
201114,hhs2,2.1240000724792,2.46478
201115,hhs2,1.1180000305176,2.22908
201116,hhs2,2.7139999866486,2.19754
201117,hhs2,1.6100000143051,1.74624
201118,hhs2,1.8780000209808,1.6154
201119,hhs2,1.7130000591278,1.71908
201120,hhs2,1.3480000495911,1.4441
201130,nat,0.597,0.641513
201131,nat,0.586,0.529813
201132,nat,0.554,0.644089
201133,nat,0.511,0.667718
201134,nat,0.771,0.705668
201135,nat,0.687,0.804155
201136,nat,0.984,0.907804
201137,nat,0.77,1.00555
201138,nat,0.955,1.03601
201139,nat,1.136,1.07583
201140,nat,1.028,1.16092
201141,nat,0.98000001907349,1.19785
201142,nat,1.0980000495911,1.27926
201143,nat,1.1729999780655,1.29194
201144,nat,1.25100004673,1.42824
201145,nat,1.24899995327,1.39803
201146,nat,1.3370000123978,1.45831
201147,nat,1.3980000019073,1.56548
201148,nat,1.1740000247955,1.34313
201149,nat,1.220999956131,1.48139
201150,nat,1.442999958992,1.63398
201151,nat,1.4889999628067,1.83126
201152,nat,1.6979999542236,2.10451
201201,nat,1.4140000343323,1.73625
201202,nat,1.2330000400543,1.55066
201203,nat,1.37600004673,1.62891
201204,nat,1.5310000181198,1.76038
201205,nat,1.7200000286102,1.92728
201206,nat,1.8660000562668,1.91994
201207,nat,1.8630000352859,2.09951
201208,nat,1.944000005722,2.23973
201209,nat,1.9950000047684,2.21921
201210,nat,2.1900000572205,2.16693
201211,nat,2.3610000610352,2.38913
201212,nat,1.9880000352859,1.96466
201213,nat,1.6849999427795,1.84229
201214,nat,1.5440000295639,1.68674
201215,nat,1.4859999418259,1.53136
201216,nat,1.307000041008,1.37912
201217,nat,1.1139999628067,1.29515
201218,nat,1.3940000534058,1.39521
201219,nat,1.182000041008,1.32522
201220,nat,1.0149999856949,1.23059
201221,nat,1.078,1.23028
201222,nat,1.143,1.26877
201223,nat,0.884,1.10782
201224,nat,0.93,1.09559
201225,nat,0.943,1.11031
201226,nat,1.026,1.10616
201227,nat,0.982,1.10816
201228,nat,0.853,0.999444
201229,nat,0.863,0.924199
201141,hhs4,1.0759999752045,1.17395
201142,hhs4,1.0880000591278,1.23406
201143,hhs4,1.192999958992,1.27831
201144,hhs4,1.1119999885559,1.52004
201145,hhs4,1.3940000534058,1.51566
201146,hhs4,1.3040000200272,1.4143
201147,hhs4,1.4329999685287,1.65971
201148,hhs4,1.164999961853,1.29746
201149,hhs4,1.2860000133514,1.6816
201150,hhs4,1.555999994278,1.71943
201151,hhs4,1.9500000476837,2.04108
201152,hhs4,2.2230000495911,2.29421
201201,hhs4,1.585000038147,1.64029
