model,season,region,score,oneWk,twoWk,threeWk,fourWk
Delphi-Stat,2010-2011,hhs6,log,-3.029528884547073,-3.339448930587934,-3.5391638716967284,-3.6607963817246465
Delphi-Uniform,2010-2011,hhs6,mae,3.460218763351438,3.4205806570668353,3.3826666784286465,3.341827599755645
Delphi-Uniform,2010-2011,hhs6,log,-4.986013277951486,-4.982780600283771,-4.979746395306745,-4.976502934814062
ReichLab-KCDE,2010-2011,hhs6,mae,0.45184374600648747,0.685161291399313,0.8418666728337598,0.9313448379779686
ReichLab-KCDE,2010-2011,hhs6,log,-3.2772439464873315,-3.591861957879333,-3.761737236987184,-3.892539223490679
ReichLab-KDE,2010-2011,hhs6,mae,0.9794137691629348,0.9790356908525749,0.9833333121405703,0.988692290966327
ReichLab-KDE,2010-2011,hhs6,log,-4.184990800461834,-4.17923652591003,-4.191628742101167,-4.198033678034175
ReichLab-SARIMA1,2010-2011,hhs6,mae,0.5455312371253936,0.8043870995121584,1.0797999970118135,1.309551722427886
ReichLab-SARIMA1,2010-2011,hhs6,log,-3.5025798838583806,-3.803938528146915,-4.0175800822665915,-4.183179085107318
ReichLab-SARIMA2,2010-2011,hhs6,mae,0.47771874964237493,0.5825161387843516,0.7323999897638934,0.8159655143474724
ReichLab-SARIMA2,2010-2011,hhs6,log,-3.546507282343644,-3.754707293671988,-3.8985509752227387,-4.009379376697716
CU-BMA,2010-2011,hhs7,mae,0.4832142925688242,0.48900000261409493,0.5789259369726578,0.5696153922722946
CU-BMA,2010-2011,hhs7,log,-3.8956276206168328,-4.107829925222059,-3.8557667774336086,-4.075782822293429
CU-EAKFC,2010-2011,hhs7,mae,0.5955714151263223,0.6704999879002594,0.7793703650986726,0.8818461645108021
CU-EAKFC,2010-2011,hhs7,log,-4.844914892649209,-4.6109621084619565,-5.095767998080835,-5.267278356230691
Delphi-BasisRegression,2010-2011,hhs7,mae,0.5748437421396391,0.6332580591401725,0.6876000024874983,0.6967241387942719
Delphi-BasisRegression,2010-2011,hhs7,log,-4.730168799682392,-4.731995401023376,-4.732985862404251,-4.729945420833215
Delphi-DeltaDensity1,2010-2011,hhs7,mae,0.40496874246746406,0.4473870948437705,0.5764666702349961,0.62410345591348
Delphi-DeltaDensity1,2010-2011,hhs7,log,-2.836968965820036,-3.0424420929089546,-3.2354652185083492,-3.3456077910244817
Delphi-DeltaDensity2,2010-2011,hhs7,mae,0.37378124538808727,0.38158065830506926,0.48600001831849615,0.5552758646422384
Delphi-DeltaDensity2,2010-2011,hhs7,log,-3.49736822587125,-2.7452059413091616,-3.0446119599947443,-3.2158605275757766
Delphi-EmpiricalBayes1,2010-2011,hhs7,mae,0.7619062548503243,0.839451626231592,1.1056000202894298,1.5611379395271214
Delphi-EmpiricalBayes1,2010-2011,hhs7,log,-4.276378604293771,-4.469121174078135,-4.869267941057455,-5.105424964005905
Delphi-EmpiricalBayes2,2010-2011,hhs7,mae,0.7171562539413516,1.2264202379531726,1.6618000000715207,1.8654137909412336
