component_model_id,season,target,weight
CU-EKF_SEIRS,2016/2017,2 wk ahead,0.22155410281243
CU-EKF_SIRS,2016/2017,2 wk ahead,0.000881299263205897
CU-RHF_SEIRS,2016/2017,2 wk ahead,0.00204820670130601
CU-RHF_SIRS,2016/2017,2 wk ahead,5.85812057848882e-06
Delphi-BasisRegression,2016/2017,2 wk ahead,0
Delphi-DeltaDensity1,2016/2017,2 wk ahead,0.318866350901709
Delphi-DeltaDensity2,2016/2017,2 wk ahead,0.00990164323455558
Delphi-EmpiricalBayes1,2016/2017,2 wk ahead,0.0852341731556491
Delphi-EmpiricalBayes2,2016/2017,2 wk ahead,1.53912800084589e-70
Delphi-EmpiricalFuture,2016/2017,2 wk ahead,3.70476591296457e-241
Delphi-EmpiricalTraj,2016/2017,2 wk ahead,3.70476591296457e-241
Delphi-Stat,2016/2017,2 wk ahead,6.33349982107831e-24
Delphi-Uniform,2016/2017,2 wk ahead,0
LANL-DBM,2016/2017,2 wk ahead,2.38533626475847e-51
ReichLab-KCDE,2016/2017,2 wk ahead,1.89821253832169e-38
ReichLab-KDE,2016/2017,2 wk ahead,2.06601296872495e-176
ReichLab-SARIMA1,2016/2017,2 wk ahead,3.40682955559096e-58
ReichLab-SARIMA2,2016/2017,2 wk ahead,3.5766025869564e-31
CU-BMA,2010/2011,3 wk ahead,0.05547489211327
CU-EAKFC_SEIRS,2010/2011,3 wk ahead,0.147021971277022
CU-EAKFC_SIRS,2010/2011,3 wk ahead,2.8584588675216e-09
CU-EKF_SEIRS,2010/2011,3 wk ahead,0.301008717261008
CU-EKF_SIRS,2010/2011,3 wk ahead,1.89280630782633e-08
CU-RHF_SEIRS,2010/2011,3 wk ahead,0.00071220469401779
CU-RHF_SIRS,2010/2011,3 wk ahead,5.95689746960104e-12
Delphi-BasisRegression,2010/2011,3 wk ahead,0
Delphi-DeltaDensity1,2010/2011,3 wk ahead,0.41728239482353
Delphi-DeltaDensity2,2010/2011,3 wk ahead,0.0220079013778221
Delphi-EmpiricalBayes1,2010/2011,3 wk ahead,0.0564918966608515
Delphi-EmpiricalBayes2,2010/2011,3 wk ahead,3.91523024518864e-47
Delphi-EmpiricalFuture,2010/2011,3 wk ahead,6.04060313492005e-139
Delphi-EmpiricalTraj,2010/2011,3 wk ahead,6.04060313492005e-139
Delphi-Stat,2010/2011,3 wk ahead,7.42736776076914e-18
Delphi-Uniform,2010/2011,3 wk ahead,0
LANL-DBM,2010/2011,3 wk ahead,2.91322225650742e-38
ReichLab-KCDE,2010/2011,3 wk ahead,2.21526442981226e-26
ReichLab-KDE,2010/2011,3 wk ahead,2.27566358459627e-103
ReichLab-SARIMA1,2010/2011,3 wk ahead,4.46128837453467e-53
ReichLab-SARIMA2,2010/2011,3 wk ahead,2.80262234704068e-26
CU-BMA,2011/2012,3 wk ahead,0.0520168626393967
CU-EAKFC_SEIRS,2011/2012,3 wk ahead,0.117900245291165
CU-EAKFC_SIRS,2011/2012,3 wk ahead,1.85979614888339e-05
CU-EKF_SEIRS,2011/2012,3 wk ahead,0.22834036996098
