component_model_id,season,target,weight
Delphi-EmpiricalBayes1,2013/2014,Season peak percentage,6.30492979955058e-05
Delphi-EmpiricalBayes2,2013/2014,Season onset,0.000355645145641498
Delphi-EmpiricalBayes2,2013/2014,Season peak week,0.000355645145641498
Delphi-EmpiricalBayes2,2013/2014,Season peak percentage,0.000355645145641498
Delphi-EmpiricalFuture,2013/2014,Season onset,0.00827773584684328
Delphi-EmpiricalFuture,2013/2014,Season peak week,0.00827773584684328
Delphi-EmpiricalFuture,2013/2014,Season peak percentage,0.00827773584684328
Delphi-EmpiricalTraj,2013/2014,Season onset,4.09422207299776e-27
Delphi-EmpiricalTraj,2013/2014,Season peak week,4.09422207299776e-27
Delphi-EmpiricalTraj,2013/2014,Season peak percentage,4.09422207299776e-27
Delphi-Stat,2013/2014,Season onset,8.49904895436472e-16
Delphi-Stat,2013/2014,Season peak week,8.49904895436472e-16
Delphi-Stat,2013/2014,Season peak percentage,8.49904895436472e-16
Delphi-Uniform,2013/2014,Season onset,1.90311623096185e-97
Delphi-Uniform,2013/2014,Season peak week,1.90311623096185e-97
Delphi-Uniform,2013/2014,Season peak percentage,1.90311623096185e-97
LANL-DBM,2013/2014,Season onset,0.636452148991508
LANL-DBM,2013/2014,Season peak week,0.636452148991508
LANL-DBM,2013/2014,Season peak percentage,0.636452148991508
ReichLab-KCDE,2013/2014,Season onset,0.233028389024093
ReichLab-KCDE,2013/2014,Season peak week,0.233028389024093
ReichLab-KCDE,2013/2014,Season peak percentage,0.233028389024093
ReichLab-KDE,2013/2014,Season onset,0.0406516396414866
ReichLab-KDE,2013/2014,Season peak week,0.0406516396414866
ReichLab-KDE,2013/2014,Season peak percentage,0.0406516396414866
ReichLab-SARIMA1,2013/2014,Season onset,6.40968741626881e-37
ReichLab-SARIMA1,2013/2014,Season peak week,6.40968741626881e-37
ReichLab-SARIMA1,2013/2014,Season peak percentage,6.40968741626881e-37
ReichLab-SARIMA2,2013/2014,Season onset,0.000281843458186129
ReichLab-SARIMA2,2013/2014,Season peak week,0.000281843458186129
ReichLab-SARIMA2,2013/2014,Season peak percentage,0.000281843458186129
CU-BMA,2014/2015,Season onset,0.0381183237597497
CU-BMA,2014/2015,Season peak week,0.0381183237597497
CU-BMA,2014/2015,Season peak percentage,0.0381183237597497
CU-EAKFC_SEIRS,2014/2015,Season onset,0.0157052480624724
CU-EAKFC_SEIRS,2014/2015,Season peak week,0.0157052480624724
CU-EAKFC_SEIRS,2014/2015,Season peak percentage,0.0157052480624724
CU-EAKFC_SIRS,2014/2015,Season onset,0.00586402460145129
CU-EAKFC_SIRS,2014/2015,Season peak week,0.00586402460145129
CU-EAKFC_SIRS,2014/2015,Season peak percentage,0.00586402460145129
CU-EKF_SEIRS,2014/2015,Season onset,9.78564666363628e-05
