component_model_id,season,location,target,weight
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,3 wk ahead,0.10580769436736713
FluX-ARLR,2010/20112019/2020,HHS Region 2,3 wk ahead,0.0401297627718216
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,3 wk ahead,0.07373964936356293
LANL-DBMplus,2010/20112019/2020,HHS Region 2,3 wk ahead,0.1475405360835125
Protea-Cheetah,2010/20112019/2020,HHS Region 2,3 wk ahead,0.13236227059961778
Protea-Kudu,2010/20112019/2020,HHS Region 2,3 wk ahead,0.019820964820499404
Protea-Springbok,2010/20112019/2020,HHS Region 2,3 wk ahead,0.27523476868693636
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,3 wk ahead,0.03513543514577957
UA-EpiCos,2010/20112019/2020,HHS Region 2,3 wk ahead,0.06377918690442458
CU-BMA,2010/20112019/2020,HHS Region 2,4 wk ahead,0.04356562040776286
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,4 wk ahead,0.05508843602366324
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,4 wk ahead,0.06163370189538557
FluX-ARLR,2010/20112019/2020,HHS Region 2,4 wk ahead,0.04041847785276571
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,4 wk ahead,0.09142204822184641
LANL-DBMplus,2010/20112019/2020,HHS Region 2,4 wk ahead,0.11268131454989777
Protea-Cheetah,2010/20112019/2020,HHS Region 2,4 wk ahead,0.1148170777284712
Protea-Kudu,2010/20112019/2020,HHS Region 2,4 wk ahead,0.02301448289886696
Protea-Springbok,2010/20112019/2020,HHS Region 2,4 wk ahead,0.35270332939274046
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,4 wk ahead,0.04279049626136604
UA-EpiCos,2010/20112019/2020,HHS Region 2,4 wk ahead,0.06186501476723376
CU-BMA,2010/20112019/2020,HHS Region 3,Season onset,0.13813520176302418
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,Season onset,0.02213992351450623
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,Season onset,0.02200639628974342
FluX-ARLR,2010/20112019/2020,HHS Region 3,Season onset,0.009089503010338423
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,Season onset,0.043850540070531914
LANL-DBMplus,2010/20112019/2020,HHS Region 3,Season onset,0.2878744255931622
