component_model_id,season,location,target,weight
ReichLab-KCDE_PHB,2010/2011,HHS Region 1,1 wk ahead,0.004866464840566733
ReichLab-KDE,2010/2011,HHS Region 1,1 wk ahead,0.004043628577324954
ReichLab-SARIMA1,2010/2011,HHS Region 1,1 wk ahead,0.006329928012054669
ReichLab-SARIMA2,2010/2011,HHS Region 1,1 wk ahead,0.006068311881984294
UA-EpiCos,2010/2011,HHS Region 1,1 wk ahead,0.013856621179963658
CU-BMA,2010/2011,HHS Region 1,2 wk ahead,0.008444500077863926
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,2 wk ahead,0.2534716467928792
CU-EAKFC_SIRS,2010/2011,HHS Region 1,2 wk ahead,0.022882526200881808
CU-EKF_SEIRS,2010/2011,HHS Region 1,2 wk ahead,0.12775337173384363
CU-EKF_SIRS,2010/2011,HHS Region 1,2 wk ahead,0.014055861287163443
CU-RHF_SEIRS,2010/2011,HHS Region 1,2 wk ahead,0.05396372335111999
CU-RHF_SIRS,2010/2011,HHS Region 1,2 wk ahead,0.016658973923648856
Delphi-BasisRegression,2010/2011,HHS Region 1,2 wk ahead,0.008192818536536906
Delphi-DeltaDensity1,2010/2011,HHS Region 1,2 wk ahead,0.1153443691565131
Delphi-DeltaDensity2,2010/2011,HHS Region 1,2 wk ahead,0.13105480419681217
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,2 wk ahead,0.0041632267949551025
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,2 wk ahead,0.0041575538393430886
Delphi-Uniform,2010/2011,HHS Region 1,2 wk ahead,0.003606030169083489
FluOutlook-Mech,2010/2011,HHS Region 1,2 wk ahead,0.012933906912110158
FluOutlook-MechAug,2010/2011,HHS Region 1,2 wk ahead,0.12685689901235225
FluX-ARLR,2010/2011,HHS Region 1,2 wk ahead,0.00549336369099224
FluX-FluX_LSTM,2010/2011,HHS Region 1,2 wk ahead,0.0057660075124717014
LANL-DBMplus,2010/2011,HHS Region 1,2 wk ahead,0.014213831306835976
Protea-Cheetah,2010/2011,HHS Region 1,2 wk ahead,0.014037185810558074
Protea-Kudu,2010/2011,HHS Region 1,2 wk ahead,0.004255718546579251
Protea-Springbok,2010/2011,HHS Region 1,2 wk ahead,0.017519928323986668
ReichLab-KCDE_NB,2010/2011,HHS Region 1,2 wk ahead,0.005921402377790873
ReichLab-KCDE_PHB,2010/2011,HHS Region 1,2 wk ahead,0.005939692416727326
ReichLab-KDE,2010/2011,HHS Region 1,2 wk ahead,0.0042660448941989225
ReichLab-SARIMA1,2010/2011,HHS Region 1,2 wk ahead,0.0056992518961379605
ReichLab-SARIMA2,2010/2011,HHS Region 1,2 wk ahead,0.006078410572546189
UA-EpiCos,2010/2011,HHS Region 1,2 wk ahead,0.007268950666067799
CU-BMA,2010/2011,HHS Region 1,3 wk ahead,0.019995896159893754
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,3 wk ahead,0.28517481277807993
CU-EAKFC_SIRS,2010/2011,HHS Region 1,3 wk ahead,0.01953029679554981
CU-EKF_SEIRS,2010/2011,HHS Region 1,3 wk ahead,0.03930516208338086
CU-EKF_SIRS,2010/2011,HHS Region 1,3 wk ahead,0.012426211250876732
CU-RHF_SEIRS,2010/2011,HHS Region 1,3 wk ahead,0.05801264695944571
CU-RHF_SIRS,2010/2011,HHS Region 1,3 wk ahead,0.016720896215797084
Delphi-BasisRegression,2010/2011,HHS Region 1,3 wk ahead,0.009963838395667788
Delphi-DeltaDensity1,2010/2011,HHS Region 1,3 wk ahead,0.19852473072263682
Delphi-DeltaDensity2,2010/2011,HHS Region 1,3 wk ahead,0.038852447883868484
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,3 wk ahead,0.004521576408485012
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,3 wk ahead,0.004501222523199842
Delphi-Uniform,2010/2011,HHS Region 1,3 wk ahead,0.0036982321040406993
FluOutlook-Mech,2010/2011,HHS Region 1,3 wk ahead,0.02133523737069788
FluOutlook-MechAug,2010/2011,HHS Region 1,3 wk ahead,0.09858993881491225
FluX-ARLR,2010/2011,HHS Region 1,3 wk ahead,0.005704982324838448
FluX-FluX_LSTM,2010/2011,HHS Region 1,3 wk ahead,0.00603162213439593
LANL-DBMplus,2010/2011,HHS Region 1,3 wk ahead,0.03394034882051662
Protea-Cheetah,2010/2011,HHS Region 1,3 wk ahead,0.018590483292964477
Protea-Kudu,2010/2011,HHS Region 1,3 wk ahead,0.004671782072413566
Protea-Springbok,2010/2011,HHS Region 1,3 wk ahead,0.06093172073395605
ReichLab-KCDE_NB,2010/2011,HHS Region 1,3 wk ahead,0.006860115178085648
ReichLab-KCDE_PHB,2010/2011,HHS Region 1,3 wk ahead,0.00682396362450129
ReichLab-KDE,2010/2011,HHS Region 1,3 wk ahead,0.004608671381833941
ReichLab-SARIMA1,2010/2011,HHS Region 1,3 wk ahead,0.005914133068884077
ReichLab-SARIMA2,2010/2011,HHS Region 1,3 wk ahead,0.007147575299663406
UA-EpiCos,2010/2011,HHS Region 1,3 wk ahead,0.007621455601413793
